Sample,Temp(BME680),Presure(BME680),H.R.(BME680),R(BME680),CO2(SGP30),TVOC(SGP30),H2(SGP30),Etanol(SGP30),CO2(CCS811),TVOC(CCS811),Res(ohm)(CCS811),CO2(iAQ),TVOC(iAQ),R(iAQ-Core),Aire/Muestra
1,22,96254,9,0,400,0,14199,18628,416,2,139000,1012,280,571797,0
2,22,96309,9,1164789478,400,0,14213,18630,416,2,139000,566,157,725000,0
3,23,96368,9,1164568473,413,0,14204,18630,434,5,137600,825,229,627531,0
4,23,96420,9,1166860544,420,4,14200,18631,427,4,138000,941,261,591847,0
5,23,96481,9,1168575455,420,10,14194,18616,418,2,138600,546,152,733812,0
6,24,96536,9,1170481685,425,14,14195,18611,413,1,139200,732,203,659288,0
7,24,96587,9,1172444578,410,4,14205,18623,416,2,139000,450,125,875459,0
8,24,96640,9,1174506196,418,4,14196,18626,416,2,139000,450,125,954766,0
9,25,96695,9,1175470689,408,0,14208,18631,416,2,139000,450,125,942971,0
10,25,96748,9,1176486293,419,3,14196,18627,413,1,139200,450,125,861943,0
11,25,96795,9,1177558639,416,3,14196,18625,416,2,139000,450,125,852039,0
12,26,96848,9,1178483448,422,7,14200,18624,416,2,139000,450,125,818848,0
13,26,96893,9,1179524301,408,7,14203,18630,416,2,139000,450,125,800851,0
14,26,96948,9,1180460217,422,11,14197,18628,418,2,138600,450,125,800851,0
15,27,96995,9,1181436143,418,8,14202,18632,416,2,139000,491,137,761350,0
16,27,97042,9,1182528318,417,10,14195,18622,416,2,139000,468,130,772297,0
17,27,97087,9,1183125957,407,4,14204,18633,418,2,138600,450,125,852039,0
18,28,97130,9,1183583783,419,12,14193,18616,416,2,139000,450,125,993854,0
19,28,97175,9,1184075058,408,8,14204,18616,416,2,139000,450,125,843932,0
20,28,97223,9,1184593090,408,9,14203,18628,416,2,139000,450,125,1031250,0
21,28,97266,9,1185022163,409,0,14206,18633,418,2,138600,450,125,914558,0
22,29,97307,9,1185545922,416,3,14199,18627,416,2,139000,450,125,925744,0
23,29,97352,9,1186023556,405,2,14197,18630,434,5,137600,450,125,927631,0
24,29,97389,9,1186556129,412,11,14196,18616,418,2,138600,450,125,905412,0
25,30,97431,9,1186993114,400,0,14203,18630,418,2,138600,450,125,818848,0
26,30,97474,9,1187415732,414,8,14202,18621,416,2,139000,450,125,865289,0
27,30,97513,9,1187918010,426,15,14199,18623,418,2,138600,450,125,868656,0
28,30,97550,9,1188379171,412,7,14204,18628,416,2,139000,457,127,782094,0
29,31,97586,9,1188777108,412,7,14198,18627,418,2,138600,450,125,832800,0
30,31,97627,9,1189289689,410,4,14198,18628,416,2,139000,477,133,772297,0
31,31,97662,9,1189731180,411,9,14200,18624,418,2,138600,450,125,937168,0
32,31,97699,9,1190119603,403,4,14206,18624,434,5,137600,450,125,921989,0
33,32,97741,9,1190552219,415,11,14192,18625,423,3,138200,450,125,1020000,0
34,32,97776,9,1190920875,401,2,14209,18620,418,2,138600,450,125,987500,0
35,32,97809,9,1191270955,404,11,14207,18624,418,2,138600,476,133,773684,0
36,32,97841,9,1191467470,400,1,14203,18634,418,2,138600,783,217,647727,0
37,33,97876,9,1191629926,412,3,14205,18638,418,2,138600,853,236,624590,0
38,33,97907,9,1191851199,413,7,14203,18628,416,2,139000,723,201,669000,0
39,33,97941,9,1192036361,404,1,14206,18633,418,2,138600,536,149,745408,0
40,33,97978,9,1192237462,414,5,14199,18627,416,2,139000,849,235,625568,0
41,33,98006,9,1192387761,416,0,14206,18632,438,5,137400,478,133,772297,0
42,34,98039,9,1192586915,414,6,14200,18628,427,4,138000,567,158,731276,0
43,34,98068,9,1192822241,404,1,14211,18648,418,2,138600,556,155,736363,0
44,34,98100,9,1192972763,409,0,14201,18633,418,2,138600,550,153,738929,0
45,34,98127,9,1193118039,417,6,14208,18636,423,3,138200,663,184,691438,0
46,34,98156,9,1193297940,417,7,14202,18630,416,2,139000,510,142,757311,0
47,35,98184,9,1193494764,415,4,14207,18637,418,2,138600,582,162,725000,0
48,35,98213,9,1193688157,415,8,14198,18628,418,2,138600,458,128,782094,0
49,35,98245,9,1193798648,409,6,14198,18628,418,2,138600,450,125,865289,0
50,35,98272,9,1194003285,402,2,14207,18635,418,2,138600,450,125,870348,0
51,35,98298,9,1194096698,402,0,14211,18630,427,4,138000,450,125,873750,0
52,36,98325,9,1194361799,400,0,14215,18649,416,2,139000,450,125,873750,0
53,36,98349,9,1194486455,408,1,14208,18635,416,2,138600,450,125,843932,0
54,36,98374,9,1194613827,403,0,14208,18640,416,2,138600,450,125,847159,0
55,36,98400,9,1194770385,422,8,14198,18635,416,2,138600,450,125,856967,0
56,36,98427,9,1194857206,414,2,14201,18635,416,2,138600,471,131,777870,0
57,36,98449,9,1195020487,405,10,14208,18630,416,2,138600,665,185,692592,0
58,37,98474,9,1195159970,409,0,14204,18636,414,2,139000,842,233,629505,0
59,37,98504,9,1195302672,412,4,14203,18638,416,2,138600,1134,314,547219,0
60,37,98524,9,1195456096,400,4,14214,18649,432,4,137600,745,207,662500,1
61,37,98549,9,1195560488,403,2,14206,18645,432,4,137600,884,245,615897,1
62,37,98571,9,1195797879,400,0,14209,18642,416,2,138600,829,230,633482,1
63,37,98592,9,1195923891,407,0,14207,18651,406,0,139600,494,138,766791,1
64,37,98614,9,1195884251,589,31,14066,18602,1053,99,111800,450,125,821914,1
65,38,98635,10,1195829155,731,80,13949,18530,1575,226,97600,748,208,661426,1
66,38,98655,10,1195782297,800,102,13906,18492,1683,322,91200,873,242,619736,1
67,38,98678,10,1195829155,821,135,13883,18455,1728,365,89000,876,243,618773,1
68,38,98696,10,1195955777,829,147,13885,18430,1733,370,88600,1492,412,471710,1
69,38,98716,10,1196003897,817,167,13882,18401,1751,391,87600,1499,414,470454,1
70,38,98737,10,1196117556,817,178,13884,18390,1746,386,88000,1144,317,544852,1
71,38,98761,11,1196175123,810,177,13889,18383,1739,379,88200,1216,336,527980,1
72,39,98783,11,1196300170,806,173,13886,18386,1739,379,88200,1647,455,445203,1
73,39,98798,11,1196479215,816,183,13885,18375,1739,379,88200,1711,473,435000,1
74,39,98818,11,1196444746,822,189,13885,18376,1739,379,88200,1266,350,516938,1
75,39,98833,11,1196680838,830,199,13878,18357,1739,379,88200,1080,299,560937,1
76,39,98857,11,1196680838,825,190,13886,18371,1739,379,88200,1420,393,485211,1
77,39,98869,11,1196797449,828,190,13874,18366,1739,379,88200,1458,403,478067,1
78,39,98888,11,1196888491,837,202,13872,18353,1751,391,87600,1909,527,406385,1
79,39,98906,11,1196999316,834,204,13871,18342,1764,407,87000,2088,576,383666,1
80,40,98924,11,1197046010,828,199,13882,18350,1757,400,87400,1417,392,485869,1
81,40,98937,11,1197102448,836,201,13875,18349,1757,400,87400,1545,427,462412,1
82,40,98957,11,1197226279,834,207,13866,18335,1757,400,87400,1744,482,430028,1
83,40,98971,11,1197332745,830,201,13872,18349,1764,407,87000,1895,523,408409,1
84,40,98986,11,1197430905,842,209,13866,18333,1764,407,87000,2146,592,376801,1
85,40,99010,11,1197520388,839,212,13866,18341,1764,407,87000,1626,449,448684,1
86,40,99026,11,1197610973,833,205,13874,18342,1764,407,87000,1612,445,451027,1
87,40,99040,11,1197682202,844,217,13859,18328,1764,407,87000,1675,463,440625,1
88,40,99055,11,1197785154,851,208,13865,18342,1757,400,87400,1950,538,400896,1
89,41,99069,11,1197910591,843,208,13861,18344,1757,400,87400,2026,559,391189,1
90,41,99085,11,1197984737,846,206,13855,18340,1757,400,87400,1777,491,425140,1
91,41,99097,11,1198048872,844,211,13858,18342,1764,407,87000,1777,491,425140,1
92,41,99110,11,1198113551,852,213,13858,18336,1764,407,87000,1583,437,455769,1
